situationCateKey,situationCategory1,situationCategory2,situationCategory3
19300001,탕비실,간식,다과
19300002,탕비실,간식,초콜릿
19300003,탕비실,간식,식사대용
19300004,탕비실,간식,다이어트
19300005,탕비실,간식,에너지바
19300006,탕비실,간식,커피
19300007,탕비실,영양제,비타민
19300008,사무실 꾸미기,업무,사무실 이전
19300009,사무실 꾸미기,업무,수납
19300010,사무실 꾸미기,업무,네트워크
19300011,사무실 꾸미기,업무,책상
19300013,직장 생활,업무,회의
19300014,직장 생활,업무,시간관리
19300015,직장 생활,출퇴근,출근길
19300016,직장 생활,식사,점심시간
19300017,직장 생활,청소,정리 정돈
19300018,직장 생활,위생,건강관리
19300019,직장 생활,업무,컴퓨터
19300020,직장 생활,업무,보안
19300021,직장 생활,업무,노트북
19300022,직장 생활,업무,전자기기
19300023,직장 생활,업무,필기구
19300024,직장 생활,업무,문서
19300025,선물,개인,경사
19300026,선물,개인,응원
19300027,선물,개인,임신
19300028,선물,단체,가정의 달
19300029,선물,단체,워크숍
19300030,선물,단체,입사
19300031,날씨,비,장마
19300032,날씨,기온,폭염
19300033,날씨,공기,미세먼지
19300034,날씨,눈,폭설
19300035,날씨,비,폭우
19300036,직장생활,업무,야근
19300037,직장생활,업무,재택근무
19300038,직장생활,업무,발표
19300039,직장생활,사고,구급상자
19300040,직장생활,업무,출장
